time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
0.05300000,18.07999992,10.88000011,1.99968616,-0.00000000,-0.00000000,0.00006456,-0.01156216,0.00271737,0.00018326,0.70710677,-0.00000000,0.00000000,0.70710680,0.00000001,-0.00000003,-0.00000000,2,0.00000000
0.12000000,18.07999717,10.88002323,1.99937803,-0.00048210,0.00164426,-0.00586261,-0.01156216,0.00271737,0.00018326,0.70850073,-0.00488487,0.00110384,0.70569231,-0.26723099,0.21540047,-0.16860536,2,0.00000000
0.18600000,18.07969419,10.88041319,1.99891170,-0.01143402,0.01149081,-0.00834009,-0.82626923,0.19419234,0.01313258,0.71515472,-0.01916223,-0.00374941,0.69869341,-0.49673122,0.17234510,-0.41068407,6,0.00000000
0.25400000,18.07789718,10.88178239,1.99863595,-0.04560188,0.02934835,0.00023516,-1.68664835,0.39640128,0.02684623,0.72607636,-0.03660257,-0.01710969,0.68642599,-0.81642765,-0.00903766,-0.54415901,8,0.00000000
0.31800000,18.07302755,10.88427308,1.99916506,-0.11356246,0.04839657,0.02300476,-2.63927405,0.62029030,0.04207126,0.73677815,-0.06042492,-0.04326714,0.67203775,-1.52517508,-0.04188414,-0.58812527,10,0.00000000
0.38700000,18.06059204,10.88846295,2.00216247,-0.26047781,0.07463483,0.06197831,-3.88730555,0.91360650,0.06210421,0.74475465,-0.10824049,-0.08762910,0.65264511,-2.11516078,0.07759985,-0.57895377,13,0.00000000
0.45200000,18.03656755,10.89453667,2.00702086,-0.48973169,0.11474436,0.08358600,-4.46165187,1.04859113,0.07138470,0.74808700,-0.15841982,-0.12986599,0.63119239,-1.90480379,0.14742891,-0.54384880,15,0.00000000
0.51900000,17.99340055,10.90420736,2.01261137,-0.80508915,0.17640933,0.07874989,-4.90577096,1.15296936,0.07865364,0.75020046,-0.19865435,-0.16174232,0.60956964,-1.22054626,0.15781687,-0.48765354,18,0.00000000
0.58600000,17.92729999,10.91864005,2.01700363,-1.16750140,0.25557261,0.05010105,-4.97995444,1.17040419,0.08003192,0.75452363,-0.21917082,-0.17747443,0.59258845,-0.39832144,0.12482884,-0.41700354,22,0.00000000
0.65300000,17.83638308,10.93873071,2.01905291,-1.54011593,0.34350973,0.01222407,-4.90843033,1.15359437,0.07899934,0.76256065,-0.21885922,-0.17773033,0.58224894,0.35795073,0.07586669,-0.33911506,25,0.00000000
0.71800000,17.72356442,10.96422660,2.02104581,-1.93323017,0.44542680,0.07954536,-4.27247162,1.59177882,0.60128517,0.77701673,-0.20551348,-0.15088350,0.57553747,1.46834282,1.29833812,-0.30017398,28,0.00000000
0.78600000,17.57956209,10.99972980,2.03175107,-2.27105064,0.61183871,0.23902028,-3.03533436,2.61826544,1.18359435,0.80332112,-0.19599154,-0.05755628,0.55941913,2.07189814,2.97658089,-0.31161446,32,0.00000000
0.85400000,17.41853090,11.05062497,2.05461118,-2.42928422,0.90160684,0.42631458,-1.65121643,3.59162415,1.53656493,0.82251545,-0.19830981,0.06327731,0.52928021,1.77951888,2.80947768,-0.35684309,36,0.00000000
0.91900000,17.26037922,11.12091774,2.08699358,-2.41580870,1.26225107,0.55596634,-0.69041127,3.93962917,1.57579486,0.83151013,-0.19551985,0.14195307,0.50021217,1.11009126,1.20763622,-0.42970829,39,0.00000000
0.98600000,17.10163706,11.21815543,2.12655511,-2.31760003,1.62642174,0.61026299,0.04980411,3.79096616,1.10327409,0.84248046,-0.18152444,0.16393326,0.48000150,0.61097833,-0.21460793,-0.51408329,42,0.00000000
1.05300000,16.95011893,11.33752389,2.16689122,-2.20968399,1.91685431,0.57869501,0.37532560,3.18627106,0.22397601,0.85770782,-0.16007182,0.14711900,0.46590805,0.32202346,-1.21899779,-0.59337517,45,0.00000000
1.11900000,16.80711108,11.47112934,2.20212209,-2.13171689,2.11360849,0.48357701,0.24655649,2.12981348,-0.66052716,0.87609018,-0.12529981,0.09404801,0.45598347,0.27705094,-2.67801151,-0.62964305,48,0.00000000
