time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.00000000,18.07999992,10.88000011,1.99967903,-0.00000000,-0.00000000,0.00011939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.70710677,-0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,18.07999992,10.88000011,1.99967903,-0.00000000,-0.00000000,0.00011939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000004,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.02000000,18.07999968,10.88000017,1.99968142,-0.00005940,0.00001396,0.00012033,-0.01156216,0.00271737,0.00018326,-1.65664041,0.38934873,0.02626323,-150.57227383,35.38795906,2.38828641,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.04000000,18.07999284,10.88000178,1.99968392,-0.00085364,0.00020062,0.00013292,-0.08075868,0.01898015,0.00128086,-5.50346820,1.29344203,0.08733107,-223.07758272,52.42837968,3.54412611,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.06000000,18.07995075,10.88001167,1.99968697,-0.00387719,0.00091123,0.00018089,-0.23732903,0.05577780,0.00376673,-10.20785162,2.39908069,0.16214382,-239.66300438,56.32633629,3.81517769,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.08000000,18.07981055,10.88004462,1.99969158,-0.01098089,0.00258076,0.00029368,-0.48850860,0.11481079,0.00775874,-14.83839211,3.48736455,0.23594539,-218.38921413,51.32650445,3.48544259,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.10000000,18.07947204,10.88012418,1.99969935,-0.02399682,0.00563980,0.00050049,-0.82626923,0.19419234,0.01313258,-18.78814555,4.41564774,0.29908636,-173.71961214,40.82811699,2.78279833,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.12000000,18.07880071,10.88028195,1.99971240,-0.04449332,0.01045695,0.00082638,-1.23311974,0.28981159,0.01961314,-21.70728124,5.10171198,0.34597250,-116.97513738,27.49185586,1.88601312,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.14000000,18.07763458,10.88055602,1.99973332,-0.07363309,0.01730547,0.00129004,-1.68664835,0.39640128,0.02684623,-23.44450266,5.50999909,0.37414853,-56.75580782,13.33892374,0.93125691,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.16000000,18.07579303,10.88098883,1.99976500,-0.11211099,0.02634867,0.00190272,-2.16297568,0.50834920,0.03445326,-23.99657497,5.63974880,0.38350715,0.66997393,-0.15746011,0.01812408,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
